,category,title,shorts,unicode_alternates,keywords,ucode_short,ucode,aliases,alt_title,aliases_ascii
🍙,food,rice ball,[rice_ball],,"[ball, food, sushi, japanese, japan, rice]",1f359,🍙,,,
🍚,food,cooked rice,[rice],,"[food, cooked, rice, sushi, japan]",1f35a,🍚,,,
🍛,food,curry and rice,[curry],,"[food, rice, curry]",1f35b,🍛,,,
🍜,food,steaming bowl,[ramen],,"[noodle, steaming, bowl, food, japan, noodles, ramen]",1f35c,🍜,,,
🍝,food,spaghetti,[spaghetti],,"[pasta, food, noodles, spaghetti, italian]",1f35d,🍝,,,
🍞,food,bread,[bread],,"[food, loaf, bread]",1f35e,🍞,,,
🍟,food,french fries,[fries],,"[food, america, fries, french]",1f35f,🍟,,,
🍠,food,roasted sweet potato,[sweet_potato],,"[food, sweet, vegetables, roasted, potato]",1f360,🍠,,,
🍡,food,dango,[dango],,"[food, dessert, japanese, stick, sweet, skewer, dango]",1f361,🍡,,,
🍢,food,oden,[oden],,"[kebab, food, seafood, oden, stick, skewer]",1f362,🍢,,,
🍣,food,sushi,[sushi],,"[food, japan, sushi]",1f363,🍣,,,
🍤,food,fried shrimp,[fried_shrimp],,"[food, fried, prawn, tempura, shrimp]",1f364,🍤,,,
🍥,food,fish cake with swirl design,[fish_cake],,"[food, fish, sushi, swirl, pastry, cake]",1f365,🍥,,,
🍦,food,soft ice cream,[icecream],,"[food, dessert, ice, icecream, sweet, soft, cream]",1f366,🍦,,,
🍧,food,shaved ice,[shaved_ice],,"[food, dessert, shaved, ice, sweet]",1f367,🍧,,,
🍨,food,ice cream,[ice_cream],,"[food, dessert, sweet, ice, cream]",1f368,🍨,,,
🍩,food,doughnut,[doughnut],,"[food, dessert, doughnut, sweet, donut]",1f369,🍩,,,
🍪,food,cookie,[cookie],,"[food, dessert, vagina, cookie, sweet]",1f36a,🍪,,,
🍫,food,chocolate bar,[chocolate_bar],,"[bar, food, dessert, halloween, chocolate, sweet]",1f36b,🍫,,,
🍬,food,candy,[candy],,"[food, dessert, halloween, candy, sweet]",1f36c,🍬,,,
🍭,food,lollipop,[lollipop],,"[food, dessert, halloween, candy, sweet, lollipop]",1f36d,🍭,,,
🍮,food,custard,[custard],,"[food, dessert, sweet, pudding, custard]",1f36e,🍮,"[:pudding:, :flan:]",,
🍯,food,honey pot,[honey_pot],,"[food, sweet, pot, honey, vagina, honeypot]",1f36f,🍯,,,
🍰,food,shortcake,[cake],,"[slice, food, dessert, pastry, sweet, cake, shortcake]",1f370,🍰,,,
🍱,food,bento box,[bento],,"[box, sushi, food, bento, object, japan]",1f371,🍱,,,
🍲,food,pot of food,[stew],,"[food, pot, stew, steam]",1f372,🍲,,,
🍳,,cooking,[egg],,"[frying, cooking, egg, pan]",1f373,🍳,,,
🍴,food,fork and knife,[fork_and_knife],,"[fork, object, food, weapon, cooking, knife]",1f374,🍴,,,
🍵,food,teacup without handle,[tea],,"[cup, tea, drink, caffeine, morning, teacup, beverage, japan, steam]",1f375,🍵,,,
🍶,food,sake bottle and cup,[sake],,"[bar, alcohol, cup, sake, drink, beverage, girls night, bottle, japan]",1f376,🍶,,,
🍷,food,wine glass,[wine_glass],,"[bar, alcohol, drink, glass, beverage, girls night, parties, wine, italian]",1f377,🍷,,,
🍸,food,cocktail glass,[cocktail],,"[bar, alcohol, cocktail, drink, glass, girls night, parties]",1f378,🍸,,,
🍹,food,tropical drink,[tropical_drink],,"[tropical, drink, bar, alcohol, cocktail]",1f379,🍹,,,
🍺,food,beer mug,[beer],,"[bar, alcohol, drink, mug, beer, parties]",1f37a,🍺,,,
🍻,food,clinking beer mugs,[beers],,"[thank you, bar, alcohol, drink, mug, cheers, beer, parties, boys night, clink]",1f37b,🍻,,,
🍼,food,baby bottle,[baby_bottle],,"[object, food, drink, bottle, baby, milk]",1f37c,🍼,,,
🍽,food,fork and knife with plate,"[fork_and_knife_with_plate, fork_knife_plate]",1f37d-fe0f,"[fork, plate, object, food, cooking, knife]",1f37d,🍽,[:fork_and_knife_with_plate:],,
🍾,food,bottle with popping cork,"[champagne, bottle_with_popping_cork]",,"[bar, alcohol, drink, cork, cheers, bottle, parties, popping]",1f37e,🍾,[:bottle_with_popping_cork:],,
🍿,food,popcorn,[popcorn],,"[popcorn, food, parties]",1f37f,🍿,,,
🎀,objects,ribbon,[ribbon],,"[birthday, object, gift, ribbon, celebration]",1f380,🎀,,,
🎁,objects,wrapped present,[gift],,"[box, gift, entertainment, object, holidays, birthday, parties, wrapped, christmas, present, celebration]",1f381,🎁,,,
🎂,food,birthday cake,[birthday],,"[food, dessert, parties, birthday, pastry, sweet, cake, celebration]",1f382,🎂,,,
🎃,nature,jack o lantern,[jack_o_lantern],,"[entertainment, halloween, holidays, jack, activity, celebration, lantern]",1f383,🎃,,jack-o-lantern,
🎄,nature,christmas tree,[christmas_tree],,"[plant, entertainment, tree, trees, holidays, activity, christmas, celebration]",1f384,🎄,,,
🎅,people,father christmas,[santa],,"[diversity, winter, people, father, holidays, fantasy, fairy tale, santa, activity, hat, christmas, celebration]",1f385,🎅,,,
🎅🏻,people,father christmas type,[santa_tone1],,[],1f385_1f3fb,🎅🏻,,father christmas tone 1,
🎅🏼,people,father christmas type,[santa_tone2],,[],1f385_1f3fc,🎅🏼,,father christmas tone 2,
🎅🏽,people,father christmas type,[santa_tone3],,[],1f385_1f3fd,🎅🏽,,father christmas tone 3,
🎅🏾,people,father christmas type,[santa_tone4],,[],1f385_1f3fe,🎅🏾,,father christmas tone 4,
🎅🏿,people,father christmas type,[santa_tone5],,[],1f385_1f3ff,🎅🏿,,father christmas tone 5,
🎆,travel,fireworks,[fireworks],,"[parties, fireworks, celebration, entertainment, activity]",1f386,🎆,,,
🎇,travel,firework sparkler,[sparkler],,"[entertainment, fireworks, sparkle, parties, activity, celebration]",1f387,🎇,,,
🎈,objects,balloon,[balloon],,"[good, entertainment, balloon, object, parties, birthday, activity, celebration]",1f388,🎈,,,
🎉,objects,party popper,[tada],,"[good, girls night, entertainment, object, boys night, parties, holidays, cheers, birthday, popper, activity, party, tada, celebration]",1f389,🎉,,,
🎊,objects,confetti ball,[confetti_ball],,"[ball, entertainment, object, parties, holidays, cheers, birthday, girls night, activity, confetti, boys night, celebration]",1f38a,🎊,,,
🎋,nature,tanabata tree,[tanabata_tree],,"[plant, entertainment, nature, tree, japanese, trees, activity, banner, celebration]",1f38b,🎋,,,
🎌,objects,crossed flags,[crossed_flags],,"[object, japanese, cross, flag, crossed, activity, japan, celebration]",1f38c,🎌,,,
🎍,nature,pine decoration,[bamboo],,"[plant, nature, japanese, pine, activity, bamboo, celebration]",1f38d,🎍,,,
🎎,objects,japanese dolls,[dolls],,"[doll, festival, entertainment, people, japanese, activity, japan, celebration]",1f38e,🎎,,,
🎏,objects,carp streamer,[flags],,"[entertainment, carp, object, flag, streamer, activity, japan, celebration]",1f38f,🎏,,,
🎐,objects,wind chime,[wind_chime],,"[object, japan, bell, entertainment, activity, chime, wind, celebration]",1f390,🎐,,,
🎑,travel,moon viewing ceremony,[rice_scene],,"[ceremony, places, entertainment, travel, space, sky, moon, activity, celebration]",1f391,🎑,,,
🎒,people,school satchel,[school_satchel],,"[school, fashion, office, satchel, vacation, bag, activity, accessories]",1f392,🎒,,,
🎓,people,graduation cap,[mortar_board],,"[office, clothing, cap, accessories, graduation, activity, hat, celebration]",1f393,🎓,,,
🎖,activity,military medal,[military_medal],1f396-fe0f,"[win, object, award, military, medal, celebration]",1f396,🎖,,,
🎗,activity,reminder ribbon,[reminder_ribbon],1f397-fe0f,"[reminder, award, ribbon, celebration]",1f397,🎗,,,
🎙,objects,studio microphone,"[studio_microphone, microphone2]",1f399-fe0f,"[microphone, mic, object, studio, music, electronics]",1f399,🎙,[:studio_microphone:],,
🎚,objects,level slider,[level_slider],1f39a-fe0f,"[slider, music, level]",1f39a,🎚,,,
🎛,objects,control knobs,[control_knobs],1f39b-fe0f,"[control, knobs, music, time]",1f39b,🎛,,,
