,category,title,shorts,unicode_alternates,keywords,ucode_short,ucode,aliases,alt_title,aliases_ascii
🐫,nature,bactrian camel,[camel],,"[wildlife, camel, hump, animal, bactrian, hump day]",1f42b,🐫,,,
🐬,nature,dolphin,[dolphin],,"[tropical, flipper, wildlife, dolphin, animal]",1f42c,🐬,,,
🐭,nature,mouse face,[mouse],,"[mouse, animal, face]",1f42d,🐭,,,
🐮,nature,cow face,[cow],,"[animal, cow, face]",1f42e,🐮,,,
🐯,nature,tiger face,[tiger],,"[wildlife, roar, cat, tiger, animal, face]",1f42f,🐯,,,
🐰,nature,rabbit face,[rabbit],,"[wildlife, rabbit, pet, face, animal, bunny]",1f430,🐰,,,
🐱,nature,cat face,[cat],,"[pet, halloween, face, vagina, animal, cat]",1f431,🐱,,,
🐲,nature,dragon face,[dragon_face],,"[reptile, monster, roar, face, fairy tale, animal, dragon]",1f432,🐲,,,
🐳,nature,spouting whale,[whale],,"[wildlife, whales, spouting, face, tropical, animal, whale]",1f433,🐳,,,
🐴,nature,horse face,[horse],,"[horse, wildlife, animal, face]",1f434,🐴,,,
🐵,nature,monkey face,[monkey_face],,"[monkey, animal, face]",1f435,🐵,,,
🐶,nature,dog face,[dog],,"[pet, pug, dog, animal, face]",1f436,🐶,,,
🐷,nature,pig face,[pig],,"[pig, animal, face]",1f437,🐷,,,
🐸,nature,frog face,[frog],,"[wildlife, animal, frog, face]",1f438,🐸,,,
🐹,nature,hamster face,[hamster],,"[pet, hamster, animal, face]",1f439,🐹,,,
🐺,nature,wolf face,[wolf],,"[roar, wildlife, wolf, animal, face]",1f43a,🐺,,,
🐻,nature,bear face,[bear],,"[roar, wildlife, animal, bear, face]",1f43b,🐻,,,
🐼,nature,panda face,[panda_face],,"[roar, wildlife, panda, animal, face]",1f43c,🐼,,,
🐽,nature,pig nose,[pig_nose],,"[pig, nose, animal, face]",1f43d,🐽,,,
🐾,nature,paw prints,"[feet, paw_prints]",,"[feet, print, animal, paw]",1f43e,🐾,[:paw_prints:],,
🐿,nature,chipmunk,[chipmunk],1f43f-fe0f,"[chipmunk, wildlife, animal]",1f43f,🐿,,,
👀,people,eyes,[eyes],,"[body, eyes, eye, face]",1f440,👀,,,
👁,people,eye,[eye],1f441-fe0f,"[body, eyes, eye]",1f441,👁,,,
👁‍🗨,people,eye left speech bubble,[eye],1f441-fe0f,"[body, eyes, eye, speech, bubble, witness]",1f441_200d_1f5e8,👁‍🗨,,,
👂,people,ear,[ear],,"[body, ear, diversity]",1f442,👂,,,
👂🏻,people,ear type,[ear_tone1],,[],1f442_1f3fb,👂🏻,,ear tone 1,
👂🏼,people,ear type,[ear_tone2],,[],1f442_1f3fc,👂🏼,,ear tone 2,
👂🏽,people,ear type,[ear_tone3],,[],1f442_1f3fd,👂🏽,,ear tone 3,
👂🏾,people,ear type,[ear_tone4],,[],1f442_1f3fe,👂🏾,,ear tone 4,
👂🏿,people,ear type,[ear_tone5],,[],1f442_1f3ff,👂🏿,,ear tone 5,
👃,people,nose,[nose],,"[body, diversity, nose]",1f443,👃,,,
👃🏻,people,nose type,[nose_tone1],,[],1f443_1f3fb,👃🏻,,nose tone 1,
👃🏼,people,nose type,[nose_tone2],,[],1f443_1f3fc,👃🏼,,nose tone 2,
👃🏽,people,nose type,[nose_tone3],,[],1f443_1f3fd,👃🏽,,nose tone 3,
👃🏾,people,nose type,[nose_tone4],,[],1f443_1f3fe,👃🏾,,nose tone 4,
👃🏿,people,nose type,[nose_tone5],,[],1f443_1f3ff,👃🏿,,nose tone 5,
👄,people,mouth,[lips],,"[body, lips, lip, sexy, mouth, women]",1f444,👄,,,
👅,people,tongue,[tongue],,"[body, sexy, tongue, lip]",1f445,👅,,,
👆,people,white up pointing backhand index,[point_up_2],,"[body, index, diversity, point, up, hand, finger, hands, backhand]",1f446,👆,,,
👆🏻,people,white up pointing backhand index type,[point_up_2_tone1],,[],1f446_1f3fb,👆🏻,,white up pointing backhand index tone 1,
👆🏼,people,white up pointing backhand index type,[point_up_2_tone2],,[],1f446_1f3fc,👆🏼,,white up pointing backhand index tone 2,
👆🏽,people,white up pointing backhand index type,[point_up_2_tone3],,[],1f446_1f3fd,👆🏽,,white up pointing backhand index tone 3,
👆🏾,people,white up pointing backhand index type,[point_up_2_tone4],,[],1f446_1f3fe,👆🏾,,white up pointing backhand index tone 4,
👆🏿,people,white up pointing backhand index type,[point_up_2_tone5],,[],1f446_1f3ff,👆🏿,,white up pointing backhand index tone 5,
👇,people,white down pointing backhand index,[point_down],,"[body, index, diversity, point, hand, down, finger, hands, backhand]",1f447,👇,,,
👇🏻,people,white down pointing backhand index type,[point_down_tone1],,[],1f447_1f3fb,👇🏻,,white down pointing backhand index tone 1,
👇🏼,people,white down pointing backhand index type,[point_down_tone2],,[],1f447_1f3fc,👇🏼,,white down pointing backhand index tone 2,
👇🏽,people,white down pointing backhand index type,[point_down_tone3],,[],1f447_1f3fd,👇🏽,,white down pointing backhand index tone 3,
👇🏾,people,white down pointing backhand index type,[point_down_tone4],,[],1f447_1f3fe,👇🏾,,white down pointing backhand index tone 4,
👇🏿,people,white down pointing backhand index type,[point_down_tone5],,[],1f447_1f3ff,👇🏿,,white down pointing backhand index tone 5,
👈,people,white left pointing backhand index,[point_left],,"[body, index, diversity, point, hand, hi, finger, hands, backhand]",1f448,👈,,,
👈🏻,people,white left pointing backhand index type,[point_left_tone1],,[],1f448_1f3fb,👈🏻,,white left pointing backhand index tone 1,
👈🏼,people,white left pointing backhand index type,[point_left_tone2],,[],1f448_1f3fc,👈🏼,,white left pointing backhand index tone 2,
👈🏽,people,white left pointing backhand index type,[point_left_tone3],,[],1f448_1f3fd,👈🏽,,white left pointing backhand index tone 3,
👈🏾,people,white left pointing backhand index type,[point_left_tone4],,[],1f448_1f3fe,👈🏾,,white left pointing backhand index tone 4,
👈🏿,people,white left pointing backhand index type,[point_left_tone5],,[],1f448_1f3ff,👈🏿,,white left pointing backhand index tone 5,
👉,people,white right pointing backhand index,[point_right],,"[body, index, diversity, point, hand, hi, finger, hands, backhand]",1f449,👉,,,
👉🏻,people,white right pointing backhand index type,[point_right_tone1],,[],1f449_1f3fb,👉🏻,,white right pointing backhand index tone 1,
👉🏼,people,white right pointing backhand index type,[point_right_tone2],,[],1f449_1f3fc,👉🏼,,white right pointing backhand index tone 2,
👉🏽,people,white right pointing backhand index type,[point_right_tone3],,[],1f449_1f3fd,👉🏽,,white right pointing backhand index tone 3,
👉🏾,people,white right pointing backhand index type,[point_right_tone4],,[],1f449_1f3fe,👉🏾,,white right pointing backhand index tone 4,
👉🏿,people,white right pointing backhand index type,[point_right_tone5],,[],1f449_1f3ff,👉🏿,,white right pointing backhand index tone 5,
👊,people,fisted hand sign,[punch],,"[body, diversity, punch, clenched, hand, hi, fist, hands, boys night, fist bump]",1f44a,👊,,,
👊🏻,people,fisted hand sign type,[punch_tone1],,[],1f44a_1f3fb,👊🏻,,fisted hand sign tone 1,
👊🏼,people,fisted hand sign type,[punch_tone2],,[],1f44a_1f3fc,👊🏼,,fisted hand sign tone 2,
👊🏽,people,fisted hand sign type,[punch_tone3],,[],1f44a_1f3fd,👊🏽,,fisted hand sign tone 3,
👊🏾,people,fisted hand sign type,[punch_tone4],,[],1f44a_1f3fe,👊🏾,,fisted hand sign tone 4,
👊🏿,people,fisted hand sign type,[punch_tone5],,[],1f44a_1f3ff,👊🏿,,fisted hand sign tone 5,
👋,people,waving hand sign,[wave],,"[body, diversity, wave, waving, hi, hands, hand]",1f44b,👋,,,
👋🏻,people,waving hand sign type,[wave_tone1],,[],1f44b_1f3fb,👋🏻,,waving hand sign tone 1,
👋🏼,people,waving hand sign type,[wave_tone2],,[],1f44b_1f3fc,👋🏼,,waving hand sign tone 2,
👋🏽,people,waving hand sign type,[wave_tone3],,[],1f44b_1f3fd,👋🏽,,waving hand sign tone 3,
👋🏾,people,waving hand sign type,[wave_tone4],,[],1f44b_1f3fe,👋🏾,,waving hand sign tone 4,
👋🏿,people,waving hand sign type,[wave_tone5],,[],1f44b_1f3ff,👋🏿,,waving hand sign tone 5,
👌,people,ok hand sign,[ok_hand],,"[body, perfect, good, diversity, hand, beautiful, hi, hands, ok]",1f44c,👌,,,
👌🏻,people,ok hand sign type,[ok_hand_tone1],,[],1f44c_1f3fb,👌🏻,,ok hand sign tone 1,
👌🏼,people,ok hand sign type,[ok_hand_tone2],,[],1f44c_1f3fc,👌🏼,,ok hand sign tone 2,
👌🏽,people,ok hand sign type,[ok_hand_tone3],,[],1f44c_1f3fd,👌🏽,,ok hand sign tone 3,
👌🏾,people,ok hand sign type,[ok_hand_tone4],,[],1f44c_1f3fe,👌🏾,,ok hand sign tone 4,
👌🏿,people,ok hand sign type,[ok_hand_tone5],,[],1f44c_1f3ff,👌🏿,,ok hand sign tone 5,
👍,people,thumbs up sign,"[+1|thumbup, thumbsup]",,"[, body, thumbs up, diversity, thumb, beautiful, up, hand, thank you, good, hi, hands, perfect, luck]",1f44d,👍,"[:+1:, :thumbup:]",,
👍🏻,people,thumbs up sign type,"[thumbsup_tone1, +1_tone1|thumbup_tone1]",,[],1f44d_1f3fb,👍🏻,"[:+1_tone1:, :thumbup_tone1:]",thumbs up sign tone 1,
👍🏼,people,thumbs up sign type,"[thumbsup_tone2, +1_tone2|thumbup_tone2]",,[],1f44d_1f3fc,👍🏼,"[:+1_tone2:, :thumbup_tone2:]",thumbs up sign tone 2,
👍🏽,people,thumbs up sign type,"[thumbsup_tone3, +1_tone3|thumbup_tone3]",,[],1f44d_1f3fd,👍🏽,"[:+1_tone3:, :thumbup_tone3:]",thumbs up sign tone 3,
👍🏾,people,thumbs up sign type,"[+1_tone4|thumbup_tone4, thumbsup_tone4]",,[],1f44d_1f3fe,👍🏾,"[:+1_tone4:, :thumbup_tone4:]",thumbs up sign tone 4,
👍🏿,people,thumbs up sign type,"[+1_tone5|thumbup_tone5, thumbsup_tone5]",,[],1f44d_1f3ff,👍🏿,"[:+1_tone5:, :thumbup_tone5:]",thumbs up sign tone 5,
👎,people,thumbs down sign,"[thumbsdown, -1|thumbdown]",,"[, body, diversity, thumb, hand, down, thumbs down, hands]",1f44e,👎,"[:-1:, :thumbdown:]",,
👎🏻,people,thumbs down sign type,"[thumbsdown_tone1, -1_tone1|thumbdown_tone1]",,[],1f44e_1f3fb,👎🏻,"[:-1_tone1:, :thumbdown_tone1:]",thumbs down sign tone 1,
👎🏼,people,thumbs down sign type,"[thumbsdown_tone2, -1_tone2|thumbdown_tone2]",,[],1f44e_1f3fc,👎🏼,"[:-1_tone2:, :thumbdown_tone2:]",thumbs down sign tone 2,
👎🏽,people,thumbs down sign type,"[thumbsdown_tone3, -1_tone3|thumbdown_tone3]",,[],1f44e_1f3fd,👎🏽,"[:-1_tone3:, :thumbdown_tone3:]",thumbs down sign tone 3,
👎🏾,people,thumbs down sign type,"[-1_tone4|thumbdown_tone4, thumbsdown_tone4]",,[],1f44e_1f3fe,👎🏾,"[:-1_tone4:, :thumbdown_tone4:]",thumbs down sign tone 4,
👎🏿,people,thumbs down sign type,"[-1_tone5|thumbdown_tone5, thumbsdown_tone5]",,[],1f44e_1f3ff,👎🏿,"[:-1_tone5:, :thumbdown_tone5:]",thumbs down sign tone 5,
👏,people,clapping hands sign,[clap],,"[body, beautiful, good, diversity, win, hand, hands, clap]",1f44f,👏,,,
👏🏻,people,clapping hands sign type,[clap_tone1],,[],1f44f_1f3fb,👏🏻,,clapping hands sign tone 1,
👏🏼,people,clapping hands sign type,[clap_tone2],,[],1f44f_1f3fc,👏🏼,,clapping hands sign tone 2,
👏🏽,people,clapping hands sign type,[clap_tone3],,[],1f44f_1f3fd,👏🏽,,clapping hands sign tone 3,
👏🏾,people,clapping hands sign type,[clap_tone4],,[],1f44f_1f3fe,👏🏾,,clapping hands sign tone 4,
👏🏿,people,clapping hands sign type,[clap_tone5],,[],1f44f_1f3ff,👏🏿,,clapping hands sign tone 5,
👐,people,open hands sign,[open_hands],,"[body, diversity, hand, hands, condolence, open]",1f450,👐,,,
👐🏻,people,open hands sign type,[open_hands_tone1],,[],1f450_1f3fb,👐🏻,,open hands sign tone 1,
👐🏼,people,open hands sign type,[open_hands_tone2],,[],1f450_1f3fc,👐🏼,,open hands sign tone 2,
👐🏽,people,open hands sign type,[open_hands_tone3],,[],1f450_1f3fd,👐🏽,,open hands sign tone 3,
👐🏾,people,open hands sign type,[open_hands_tone4],,[],1f450_1f3fe,👐🏾,,open hands sign tone 4,
👐🏿,people,open hands sign type,[open_hands_tone5],,[],1f450_1f3ff,👐🏿,,open hands sign tone 5,
👑,people,crown,[crown],,"[king, object, queen, crown, accessories, clothing, gem]",1f451,👑,,,
👒,people,womans hat,[womans_hat],,"[woman, clothing, accessories, fashion, hat, women]",1f452,👒,,,
👓,people,eyeglasses,[eyeglasses],,"[eyeglasses, eye, eyewear, accessories, fashion, clothing, glasses]",1f453,👓,,,
👔,people,necktie,[necktie],,"[fashion, clothing, necktie]",1f454,👔,,,
👕,people,t shirt,[shirt],,"[tshirt, fashion, clothing, shirt]",1f455,👕,,t-shirt,
👖,people,jeans,[jeans],,"[jeans, trousers, clothing, fashion, pants]",1f456,👖,,,
👗,people,dress,[dress],,"[fashion, clothing, girls night, sexy, dress, women]",1f457,👗,,,
👘,people,kimono,[kimono],,"[kimono, clothing, fashion]",1f458,👘,,,
👙,people,bikini,[bikini],,"[swim, fashion, vacation, tropical, bikini, sexy, clothing, women]",1f459,👙,,,
👚,people,womans clothes,[womans_clothes],,"[woman, clothing, fashion, women]",1f45a,👚,,,
👛,people,purse,[purse],,"[fashion, money, purse, accessories, bag, coin, clothing, women]",1f45b,👛,,,
👜,people,handbag,[handbag],,"[fashion, vacation, accessories, bag, handbag, clothing, women]",1f45c,👜,,,
👝,people,pouch,[pouch],,"[fashion, clothing, accessories, bag, pouch, women]",1f45d,👝,,,
👞,people,mans shoe,[mans_shoe],,"[accessories, fashion, clothing, shoe, man]",1f45e,👞,,,
👟,people,athletic shoe,[athletic_shoe],,"[sneaker, fashion, athletic, accessories, shoe, boys night, clothing]",1f45f,👟,,,
👠,people,high heeled shoe,[high_heel],,"[fashion, accessories, woman, girls night, shoe, sexy, clothing, heel, women]",1f460,👠,,high-heeled shoe,
👡,people,womans sandal,[sandal],,"[fashion, accessories, sandal, woman, shoe, clothing]",1f461,👡,,,
👢,people,womans boots,[boot],,"[woman, boot, accessories, fashion, shoe, sexy, clothing, women]",1f462,👢,,,
👣,people,footprints,[footprints],,"[body, footprint, print, clothing]",1f463,👣,,,
👤,people,bust in silhouette,[bust_in_silhouette],,"[silhouette, bust, people]",1f464,👤,,,
👥,people,busts in silhouette,[busts_in_silhouette],,"[silhouette, bust, people]",1f465,👥,,,
👦,people,boy,[boy],,"[baby, boy, diversity, people]",1f466,👦,,,
👦🏻,people,boy type,[boy_tone1],,[],1f466_1f3fb,👦🏻,,boy tone 1,
👦🏼,people,boy type,[boy_tone2],,[],1f466_1f3fc,👦🏼,,boy tone 2,
👦🏽,people,boy type,[boy_tone3],,[],1f466_1f3fd,👦🏽,,boy tone 3,
👦🏾,people,boy type,[boy_tone4],,[],1f466_1f3fe,👦🏾,,boy tone 4,
👦🏿,people,boy type,[boy_tone5],,[],1f466_1f3ff,👦🏿,,boy tone 5,
👧,people,girl,[girl],,"[diversity, maiden, people, virgo, virgin, baby, girl, zodiac, women]",1f467,👧,,,
👧🏻,people,girl type,[girl_tone1],,[],1f467_1f3fb,👧🏻,,girl tone 1,
👧🏼,people,girl type,[girl_tone2],,[],1f467_1f3fc,👧🏼,,girl tone 2,
👧🏽,people,girl type,[girl_tone3],,[],1f467_1f3fd,👧🏽,,girl tone 3,
👧🏾,people,girl type,[girl_tone4],,[],1f467_1f3fe,👧🏾,,girl tone 4,
👧🏿,people,girl type,[girl_tone5],,[],1f467_1f3ff,👧🏿,,girl tone 5,
👨,people,man,[man],,"[diversity, people, selfie, men, sex, boys night, man]",1f468,👨,,,
👨‍❤️‍👨,people,couple with heart man man,[man],,"[diversity, people, couple, men, sex, boys night, selfie, man]",1f468_200d_2764_fe0f_200d_1f468,👨‍❤️‍👨,,,
👨‍❤️‍💋‍👨,people,kiss man man,[man],,"[diversity, people, selfie, men, sex, kiss, boys night, man]",1f468_200d_2764_fe0f_200d_1f48b_200d_1f468,👨‍❤️‍💋‍👨,,,
👨‍👨‍👦,people,family man man boy,[man],,"[boy, diversity, family, people, selfie, men, sex, boys night, man]",1f468_200d_1f468_200d_1f466,👨‍👨‍👦,,,
👨‍👨‍👦‍👦,people,family man man boy boy,[man],,"[boy, diversity, family, people, selfie, men, sex, boys night, man]",1f468_200d_1f468_200d_1f466_200d_1f466,👨‍👨‍👦‍👦,,,
👨‍👨‍👧,people,family man man girl,[man],,"[diversity, family, people, selfie, men, sex, boys night, girl, man]",1f468_200d_1f468_200d_1f467,👨‍👨‍👧,,,
👨‍👨‍👧‍👦,people,family man man girl boy,[man],,"[boy, diversity, family, people, selfie, men, sex, boys night, girl, man]",1f468_200d_1f468_200d_1f467_200d_1f466,👨‍👨‍👧‍👦,,,
👨‍👨‍👧‍👧,people,family man man girl girl,[man],,"[diversity, family, people, selfie, men, sex, boys night, girl, man]",1f468_200d_1f468_200d_1f467_200d_1f467,👨‍👨‍👧‍👧,,,
👨‍👩‍👦,people,family man woman boy,[man],,"[boy, woman, diversity, family, people, selfie, men, sex, boys night, man]",1f468_200d_1f469_200d_1f466,👨‍👩‍👦,,,
👨‍👩‍👦‍👦,people,family man woman boy boy,[man],,"[boy, woman, diversity, family, people, selfie, men, sex, boys night, man]",1f468_200d_1f469_200d_1f466_200d_1f466,👨‍👩‍👦‍👦,,,
👨‍👩‍👧,people,family man woman girl,[man],,"[woman, diversity, family, people, selfie, men, sex, boys night, girl, man]",1f468_200d_1f469_200d_1f467,👨‍👩‍👧,,,
👨‍👩‍👧‍👦,people,family man woman girl boy,[man],,"[boy, woman, diversity, family, people, selfie, men, sex, boys night, girl, man]",1f468_200d_1f469_200d_1f467_200d_1f466,👨‍👩‍👧‍👦,,,
👨‍👩‍👧‍👧,people,family man woman girl girl,[man],,"[woman, diversity, family, people, selfie, men, sex, boys night, girl, man]",1f468_200d_1f469_200d_1f467_200d_1f467,👨‍👩‍👧‍👧,,,
👨🏻,people,man type,[man_tone1],,[],1f468_1f3fb,👨🏻,,man tone 1,
👨🏼,people,man type,[man_tone2],,[],1f468_1f3fc,👨🏼,,man tone 2,
👨🏽,people,man type,[man_tone3],,[],1f468_1f3fd,👨🏽,,man tone 3,
👨🏾,people,man type,[man_tone4],,[],1f468_1f3fe,👨🏾,,man tone 4,
👨🏿,people,man type,[man_tone5],,[],1f468_1f3ff,👨🏿,,man tone 5,
👩,people,woman,[woman],,"[woman, diversity, feminist, selfie, people, sex, girls night, women]",1f469,👩,,,
👩‍❤️‍👨,people,couple with heart woman man,[woman],,"[woman, diversity, people, couple, feminist, sex, girls night, man, selfie, women]",1f469_200d_2764_fe0f_200d_1f468,👩‍❤️‍👨,,,
👩‍❤️‍👩,people,couple with heart woman woman,[woman],,"[woman, diversity, people, couple, feminist, sex, girls night, selfie, women]",1f469_200d_2764_fe0f_200d_1f469,👩‍❤️‍👩,,,
👩‍❤️‍💋‍👨,people,kiss woman man,[woman],,"[woman, diversity, people, selfie, feminist, sex, girls night, kiss, man, women]",1f469_200d_2764_fe0f_200d_1f48b_200d_1f468,👩‍❤️‍💋‍👨,,,
👩‍❤️‍💋‍👩,people,kiss woman woman,[woman],,"[woman, diversity, people, selfie, feminist, sex, girls night, kiss, women]",1f469_200d_2764_fe0f_200d_1f48b_200d_1f469,👩‍❤️‍💋‍👩,,,
👩‍👩‍👦,people,family woman woman boy,[woman],,"[boy, woman, diversity, family, people, selfie, feminist, sex, girls night, women]",1f469_200d_1f469_200d_1f466,👩‍👩‍👦,,,
👩‍👩‍👦‍👦,people,family woman woman boy boy,[woman],,"[boy, woman, diversity, family, people, selfie, feminist, sex, girls night, women]",1f469_200d_1f469_200d_1f466_200d_1f466,👩‍👩‍👦‍👦,,,
👩‍👩‍👧,people,family woman woman girl,[woman],,"[woman, diversity, family, people, selfie, feminist, sex, girls night, girl, women]",1f469_200d_1f469_200d_1f467,👩‍👩‍👧,,,
👩‍👩‍👧‍👦,people,family woman woman girl boy,[woman],,"[boy, woman, diversity, family, people, selfie, feminist, sex, girls night, girl, women]",1f469_200d_1f469_200d_1f467_200d_1f466,👩‍👩‍👧‍👦,,,
👩‍👩‍👧‍👧,people,family woman woman girl girl,[woman],,"[woman, diversity, family, people, selfie, feminist, sex, girls night, girl, women]",1f469_200d_1f469_200d_1f467_200d_1f467,👩‍👩‍👧‍👧,,,
👩🏻,people,woman type,[woman_tone1],,[],1f469_1f3fb,👩🏻,,woman tone 1,
👩🏼,people,woman type,[woman_tone2],,[],1f469_1f3fc,👩🏼,,woman tone 2,
👩🏽,people,woman type,[woman_tone3],,[],1f469_1f3fd,👩🏽,,woman tone 3,
👩🏾,people,woman type,[woman_tone4],,[],1f469_1f3fe,👩🏾,,woman tone 4,
👩🏿,people,woman type,[woman_tone5],,[],1f469_1f3ff,👩🏿,,woman tone 5,
👪,people,family,[family],,"[family, people, child, father, mother, baby]",1f46a,👪,,,
👫,people,man and woman holding hands,[couple],,"[woman, creationism, people, couple, sex, hand, hold, man]",1f46b,👫,,,
👬,people,two men holding hands,[two_men_holding_hands],,"[gay, people, couple, men, sex, hand, lgbt, gemini, twins, zodiac, hold, man]",1f46c,👬,,,
👭,people,two women holding hands,[two_women_holding_hands],,"[woman, people, couple, sex, hand, lgbt, girls night, hold, lesbian, women]",1f46d,👭,,,
👮,people,police officer,[cop],,"[cop, police, people, 911, men, job, officer, diversity, hat]",1f46e,👮,,,
👮🏻,people,police officer type,[cop_tone1],,[],1f46e_1f3fb,👮🏻,,police officer tone 1,
👮🏼,people,police officer type,[cop_tone2],,[],1f46e_1f3fc,👮🏼,,police officer tone 2,
👮🏽,people,police officer type,[cop_tone3],,[],1f46e_1f3fd,👮🏽,,police officer tone 3,
👮🏾,people,police officer type,[cop_tone4],,[],1f46e_1f3fe,👮🏾,,police officer tone 4,
👮🏿,people,police officer type,[cop_tone5],,[],1f46e_1f3ff,👮🏿,,police officer tone 5,
👯,people,woman with bunny ears,[dancers],,"[woman, people, dance, parties, dancer, girls night, boys night, sexy, girl, ear, bunny, women]",1f46f,👯,,,
👰,people,bride with veil,[bride_with_veil],,"[diversity, people, bride, wedding, veil, women]",1f470,👰,,,
👰🏻,people,bride with veil type,[bride_with_veil_tone1],,[],1f470_1f3fb,👰🏻,,bride with veil tone 1,
👰🏼,people,bride with veil type,[bride_with_veil_tone2],,[],1f470_1f3fc,👰🏼,,bride with veil tone 2,
👰🏽,people,bride with veil type,[bride_with_veil_tone3],,[],1f470_1f3fd,👰🏽,,bride with veil tone 3,
👰🏾,people,bride with veil type,[bride_with_veil_tone4],,[],1f470_1f3fe,👰🏾,,bride with veil tone 4,
👰🏿,people,bride with veil type,[bride_with_veil_tone5],,[],1f470_1f3ff,👰🏿,,bride with veil tone 5,
👱,people,person with blond hair,[person_with_blond_hair],,"[men, diversity, blond, people]",1f471,👱,,,
👱🏻,people,person with blond hair type,[person_with_blond_hair_tone1],,[],1f471_1f3fb,👱🏻,,person with blond hair tone 1,
👱🏼,people,person with blond hair type,[person_with_blond_hair_tone2],,[],1f471_1f3fc,👱🏼,,person with blond hair tone 2,
👱🏽,people,person with blond hair type,[person_with_blond_hair_tone3],,[],1f471_1f3fd,👱🏽,,person with blond hair tone 3,
👱🏾,people,person with blond hair type,[person_with_blond_hair_tone4],,[],1f471_1f3fe,👱🏾,,person with blond hair tone 4,
👱🏿,people,person with blond hair type,[person_with_blond_hair_tone5],,[],1f471_1f3ff,👱🏿,,person with blond hair tone 5,
👲,people,man with gua pi mao,[man_with_gua_pi_mao],,"[diversity, people, men, gua pi mao, hat, man]",1f472,👲,,,
👲🏻,people,man with gua pi mao type,[man_with_gua_pi_mao_tone1],,[],1f472_1f3fb,👲🏻,,man with gua pi mao tone 1,
👲🏼,people,man with gua pi mao type,[man_with_gua_pi_mao_tone2],,[],1f472_1f3fc,👲🏼,,man with gua pi mao tone 2,
👲🏽,people,man with gua pi mao type,[man_with_gua_pi_mao_tone3],,[],1f472_1f3fd,👲🏽,,man with gua pi mao tone 3,
👲🏾,people,man with gua pi mao type,[man_with_gua_pi_mao_tone4],,[],1f472_1f3fe,👲🏾,,man with gua pi mao tone 4,
👲🏿,people,man with gua pi mao type,[man_with_gua_pi_mao_tone5],,[],1f472_1f3ff,👲🏿,,man with gua pi mao tone 5,
👳,people,man with turban,[man_with_turban],,"[diversity, people, hat, turban, man]",1f473,👳,,,
👳🏻,people,man with turban type,[man_with_turban_tone1],,[],1f473_1f3fb,👳🏻,,man with turban tone 1,
👳🏼,people,man with turban type,[man_with_turban_tone2],,[],1f473_1f3fc,👳🏼,,man with turban tone 2,
👳🏽,people,man with turban type,[man_with_turban_tone3],,[],1f473_1f3fd,👳🏽,,man with turban tone 3,
👳🏾,people,man with turban type,[man_with_turban_tone4],,[],1f473_1f3fe,👳🏾,,man with turban tone 4,
👳🏿,people,man with turban type,[man_with_turban_tone5],,[],1f473_1f3ff,👳🏿,,man with turban tone 5,
👴,people,older man,[older_man],,"[diversity, people, men, old people, old, man]",1f474,👴,,,
👴🏻,people,older man type,[older_man_tone1],,[],1f474_1f3fb,👴🏻,,older man tone 1,
👴🏼,people,older man type,[older_man_tone2],,[],1f474_1f3fc,👴🏼,,older man tone 2,
👴🏽,people,older man type,[older_man_tone3],,[],1f474_1f3fd,👴🏽,,older man tone 3,
👴🏾,people,older man type,[older_man_tone4],,[],1f474_1f3fe,👴🏾,,older man tone 4,
👴🏿,people,older man type,[older_man_tone5],,[],1f474_1f3ff,👴🏿,,older man tone 5,
👵,people,older woman,"[older_woman, grandma]",,"[diversity, woman, old, old people, people]",1f475,👵,[:grandma:],,
👵🏻,people,older woman type,"[older_woman_tone1, grandma_tone1]",,[],1f475_1f3fb,👵🏻,[:grandma_tone1:],older woman tone 1,
👵🏼,people,older woman type,"[grandma_tone2, older_woman_tone2]",,[],1f475_1f3fc,👵🏼,[:grandma_tone2:],older woman tone 2,
👵🏽,people,older woman type,"[older_woman_tone3, grandma_tone3]",,[],1f475_1f3fd,👵🏽,[:grandma_tone3:],older woman tone 3,
👵🏾,people,older woman type,"[grandma_tone4, older_woman_tone4]",,[],1f475_1f3fe,👵🏾,[:grandma_tone4:],older woman tone 4,
👵🏿,people,older woman type,"[older_woman_tone5, grandma_tone5]",,[],1f475_1f3ff,👵🏿,[:grandma_tone5:],older woman tone 5,
👶,people,baby,[baby],,"[baby, diversity, people]",1f476,👶,,,
👶🏻,people,baby type,[baby_tone1],,[],1f476_1f3fb,👶🏻,,baby tone 1,
👶🏼,people,baby type,[baby_tone2],,[],1f476_1f3fc,👶🏼,,baby tone 2,
👶🏽,people,baby type,[baby_tone3],,[],1f476_1f3fd,👶🏽,,baby tone 3,
👶🏾,people,baby type,[baby_tone4],,[],1f476_1f3fe,👶🏾,,baby tone 4,
👶🏿,people,baby type,[baby_tone5],,[],1f476_1f3ff,👶🏿,,baby tone 5,
👷,people,construction worker,[construction_worker],,"[diversity, people, men, worker, job, construction, hat]",1f477,👷,,,
👷🏻,people,construction worker type,[construction_worker_tone1],,[],1f477_1f3fb,👷🏻,,construction worker tone 1,
👷🏼,people,construction worker type,[construction_worker_tone2],,[],1f477_1f3fc,👷🏼,,construction worker tone 2,
👷🏽,people,construction worker type,[construction_worker_tone3],,[],1f477_1f3fd,👷🏽,,construction worker tone 3,
👷🏾,people,construction worker type,[construction_worker_tone4],,[],1f477_1f3fe,👷🏾,,construction worker tone 4,
